message,run_number,timestamp,avg_score,gender,age,agreement,attitude_change,clarity,credibility,emotional_impact,engagement_intention,memorability,persuasiveness,relevance,trustworthiness
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",8,2026-01-26T08:15:31.738242Z,8.4,Female,25-34,9.0,8.0,10.0,8.0,8.0,8.0,7.0,8.0,9.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",4,2026-01-26T08:15:32.071782Z,8.1,Female,25-34,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",7,2026-01-26T08:15:32.299346Z,8.1,Female,25-34,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",6,2026-01-26T08:15:32.363549Z,8.1,Female,25-34,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",9,2026-01-26T08:15:32.594125Z,8.1,Female,25-34,8.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,9.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",5,2026-01-26T08:15:32.714860Z,8.5,Female,25-34,9.0,8.0,10.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0
"To credibly reach carbon neutrality by 2050, the EU should strengthen climate policy through faster permitting, grid investment, and clear financing pathways for renewables. Pair this with retraining, wage support, and regional development.",10,2026-01-26T08:15:32.901637Z,8.1,Female,25-34,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",1,2026-01-26T08:15:33.494986Z,8.2,Female,25-34,9.0,8.0,10.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",3,2026-01-26T08:15:34.255632Z,8.1,Female,25-34,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",2,2026-01-26T08:15:34.558372Z,8.2,Female,25-34,9.0,8.0,10.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",4,2026-01-26T08:15:34.777092Z,8.1,Female,25-34,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",5,2026-01-26T08:15:34.818628Z,8.3,Female,25-34,9.0,8.0,10.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",6,2026-01-26T08:15:35.009987Z,8.3,Female,25-34,9.0,8.0,10.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",7,2026-01-26T08:15:35.354786Z,8.2,Female,25-34,9.0,8.0,10.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",8,2026-01-26T08:15:35.387099Z,8.3,Female,25-34,9.0,8.0,10.0,9.0,7.0,8.0,7.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",9,2026-01-26T08:15:35.696658Z,8.4,Female,25-34,9.0,8.0,10.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0
"If the EU is serious about carbon neutrality by 2050, it must strengthen climate policy with delivery: speed renewable permitting, modernize grids, and set predictable rules to mobilize capital. Guarantee a just transition with retraining, wage support, and regional investment.",10,2026-01-26T08:15:36.441732Z,8.1,Female,25-34,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",7,2026-01-26T08:15:48.883653Z,6.2,Female,35-44,7.0,5.0,5.0,7.0,4.0,6.0,6.0,6.0,8.0,8.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",2,2026-01-26T08:15:49.636613Z,6.1,Female,35-44,7.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,8.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",5,2026-01-26T08:15:50.001782Z,5.3,Female,35-44,6.0,5.0,7.0,4.0,4.0,4.0,6.0,5.0,7.0,5.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",4,2026-01-26T08:15:50.693867Z,6.0,Female,35-44,7.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,8.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",10,2026-01-26T08:15:51.626834Z,6.3,Female,35-44,7.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",9,2026-01-26T08:15:51.663685Z,5.4,Female,35-44,6.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,7.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",1,2026-01-26T08:15:51.925169Z,5.6,Female,35-44,6.0,5.0,8.0,4.0,4.0,5.0,6.0,5.0,7.0,6.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",1,2026-01-26T08:15:52.880403Z,5.1,Female,35-44,6.0,3.0,9.0,2.0,5.0,4.0,7.0,4.0,8.0,3.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",2,2026-01-26T08:15:53.543429Z,5.0,Female,35-44,5.0,2.0,10.0,2.0,4.0,5.0,8.0,4.0,7.0,3.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",3,2026-01-26T08:15:53.662791Z,5.1,Female,35-44,6.0,3.0,9.0,2.0,5.0,4.0,7.0,4.0,8.0,3.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",3,2026-01-26T08:15:54.205090Z,5.6,Female,35-44,6.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,8.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",8,2026-01-26T08:15:54.535111Z,5.6,Female,35-44,6.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,8.0,6.0
"The EU must strengthen climate policy to reach carbon neutrality by 2050, but we should avoid major changes. Invest massively in renewables while keeping fossil jobs exactly as they are.",6,2026-01-26T08:15:54.899674Z,5.6,Female,35-44,6.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,8.0,6.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",4,2026-01-26T08:15:55.408638Z,5.9,Female,35-44,8.0,3.0,10.0,2.0,5.0,6.0,8.0,4.0,9.0,4.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",5,2026-01-26T08:15:55.553896Z,7.0,Female,35-44,8.0,6.0,10.0,4.0,7.0,7.0,8.0,6.0,9.0,5.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",6,2026-01-26T08:15:55.692906Z,5.2,Female,35-44,8.0,3.0,9.0,2.0,5.0,4.0,6.0,4.0,7.0,4.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",8,2026-01-26T08:15:56.897352Z,5.3,Female,35-44,5.0,3.0,9.0,2.0,5.0,6.0,7.0,4.0,8.0,4.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",9,2026-01-26T08:15:57.213141Z,5.4,Female,35-44,7.0,4.0,9.0,3.0,5.0,4.0,6.0,5.0,7.0,4.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",7,2026-01-26T08:15:57.228719Z,4.8,Female,35-44,5.0,3.0,9.0,2.0,4.0,3.0,7.0,4.0,8.0,3.0
"The EU must reach carbon neutrality by 2050 with stronger climate policy, but it should cost nothing and require no lifestyle changes. Invest massively in renewables while guaranteeing no higher bills and no disruption.",10,2026-01-26T08:15:57.866644Z,6.5,Female,35-44,9.0,4.0,10.0,3.0,6.0,7.0,8.0,5.0,8.0,5.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",3,2026-01-26T08:15:59.235891Z,4.0,Female,35-44,2.0,2.0,6.0,2.0,4.0,5.0,6.0,3.0,7.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",2,2026-01-26T08:15:59.296393Z,2.7,Female,35-44,2.0,1.0,5.0,1.0,3.0,2.0,4.0,2.0,6.0,1.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",4,2026-01-26T08:15:59.773075Z,4.2,Female,35-44,3.0,2.0,7.0,2.0,5.0,4.0,6.0,3.0,7.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",1,2026-01-26T08:16:00.871260Z,3.8,Female,35-44,2.0,1.0,5.0,2.0,4.0,5.0,6.0,3.0,7.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",6,2026-01-26T08:16:00.935085Z,4.9,Female,35-44,4.0,3.0,6.0,3.0,5.0,6.0,7.0,4.0,8.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",5,2026-01-26T08:16:01.077663Z,4.2,Female,35-44,4.0,2.0,6.0,2.0,4.0,5.0,6.0,3.0,7.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",9,2026-01-26T08:16:01.087383Z,3.5,Female,35-44,2.0,2.0,4.0,2.0,4.0,3.0,5.0,3.0,7.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",7,2026-01-26T08:16:01.465559Z,3.3,Female,35-44,2.0,1.0,4.0,2.0,4.0,2.0,5.0,3.0,7.0,3.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",8,2026-01-26T08:16:02.159023Z,3.6,Female,35-44,2.0,2.0,4.0,2.0,4.0,3.0,5.0,3.0,7.0,4.0
"To achieve carbon neutrality by 2050, the EU should strengthen climate policy by expanding renewables and also increasing fossil fuel production to stabilize emissions. A just transition is needed, but jobs should not change.",10,2026-01-26T08:16:02.465842Z,4.0,Female,35-44,2.0,2.0,6.0,2.0,4.0,5.0,6.0,3.0,7.0,3.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",1,2026-01-26T08:16:03.108560Z,8.1,Female,35-44,8.0,7.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",3,2026-01-26T08:16:03.248706Z,7.5,Female,35-44,7.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",2,2026-01-26T08:16:03.515757Z,7.4,Female,35-44,7.0,6.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",5,2026-01-26T08:16:04.124589Z,7.2,Female,35-44,7.0,6.0,9.0,8.0,6.0,7.0,7.0,7.0,7.0,8.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",7,2026-01-26T08:16:04.921755Z,7.4,Female,35-44,7.0,7.0,9.0,8.0,7.0,6.0,7.0,7.0,8.0,8.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",4,2026-01-26T08:16:04.923897Z,7.7,Female,35-44,7.0,7.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",9,2026-01-26T08:16:05.369227Z,7.4,Female,35-44,7.0,7.0,9.0,8.0,7.0,6.0,7.0,7.0,8.0,8.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",6,2026-01-26T08:16:05.684194Z,7.8,Female,35-44,8.0,7.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",8,2026-01-26T08:16:05.742462Z,7.3,Female,35-44,7.0,6.0,9.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0
"The EU must impose tougher climate rules to force rapid decarbonization by 2050. Fossil industries have delayed progress too long, so they should accept the costs while renewables expand quickly.",10,2026-01-26T08:16:05.964317Z,7.3,Female,35-44,7.0,6.0,9.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",3,2026-01-26T08:16:07.583505Z,6.8,Female,35-44,7.0,6.0,9.0,6.0,5.0,6.0,6.0,7.0,8.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",2,2026-01-26T08:16:07.873875Z,7.0,Female,35-44,7.0,6.0,9.0,6.0,6.0,7.0,7.0,6.0,8.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",1,2026-01-26T08:16:08.187362Z,7.0,Female,35-44,7.0,6.0,9.0,6.0,5.0,7.0,7.0,7.0,8.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",4,2026-01-26T08:16:09.236946Z,7.3,Female,35-44,7.0,7.0,9.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",5,2026-01-26T08:16:09.294535Z,7.0,Female,35-44,7.0,6.0,9.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",8,2026-01-26T08:16:09.368508Z,6.9,Female,35-44,7.0,6.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",7,2026-01-26T08:16:09.956754Z,7.1,Female,35-44,7.0,6.0,9.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,1,2026-01-26T08:16:10.328685Z,7.7,Female,35-44,8.0,7.0,10.0,9.0,6.0,7.0,7.0,8.0,7.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",9,2026-01-26T08:16:10.336822Z,7.2,Female,35-44,7.0,7.0,9.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",10,2026-01-26T08:16:11.048955Z,7.4,Female,35-44,7.0,7.0,9.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,2,2026-01-26T08:16:11.444926Z,7.9,Female,35-44,8.0,7.0,10.0,9.0,7.0,7.0,7.0,8.0,8.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,3,2026-01-26T08:16:11.581335Z,7.6,Female,35-44,8.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0
"To reach carbon neutrality by 2050, the EU should strengthen climate policy and invest in renewables. This can be done without meaningful public spending if markets work properly and workers adapt.",6,2026-01-26T08:16:12.170383Z,7.1,Female,35-44,7.0,6.0,9.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,6,2026-01-26T08:16:12.393782Z,7.3,Female,35-44,7.0,6.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,7,2026-01-26T08:16:12.947850Z,8.1,Female,35-44,8.0,7.0,10.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,5,2026-01-26T08:16:13.081917Z,8.0,Female,35-44,8.0,7.0,10.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,4,2026-01-26T08:16:13.120210Z,8.0,Female,35-44,8.0,8.0,10.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,8,2026-01-26T08:16:13.388769Z,7.6,Female,35-44,8.0,7.0,10.0,9.0,6.0,7.0,6.0,8.0,7.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,9,2026-01-26T08:16:13.671916Z,7.6,Female,35-44,7.0,7.0,9.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0
The EU must strengthen climate policies to reach carbon neutrality by 2050. This requires major investment in renewables and a just transition that supports workers and regions affected by the decline of fossil fuels.,10,2026-01-26T08:16:14.674945Z,8.0,Female,35-44,8.0,8.0,10.0,9.0,7.0,7.0,7.0,8.0,8.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",1,2026-01-26T08:16:25.459822Z,7.4,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,6.0,8.0,7.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",3,2026-01-26T08:16:25.582024Z,7.4,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,6.0,8.0,7.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",6,2026-01-26T08:16:26.012341Z,7.5,Female,35-44,8.0,7.0,9.0,9.0,6.0,7.0,6.0,8.0,7.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",10,2026-01-26T08:16:26.163045Z,7.4,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,6.0,8.0,7.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",8,2026-01-26T08:16:26.862932Z,7.5,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",2,2026-01-26T08:16:26.979983Z,7.4,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,6.0,8.0,7.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",5,2026-01-26T08:16:26.991375Z,7.5,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",7,2026-01-26T08:16:27.180629Z,7.5,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",9,2026-01-26T08:16:28.014737Z,7.4,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,7.0
"Meeting the 2050 neutrality goal needs stronger EU climate policy: faster renewable deployment, grid upgrades, and stable investment rules. A just transition should fund retraining and targeted regional support for fossil-dependent areas.",4,2026-01-26T08:16:28.396776Z,7.5,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",1,2026-01-26T08:16:28.398788Z,7.5,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",2,2026-01-26T08:16:29.590771Z,7.6,Female,35-44,8.0,8.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",3,2026-01-26T08:16:30.008537Z,7.5,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",4,2026-01-26T08:16:30.176562Z,7.5,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",6,2026-01-26T08:16:30.462928Z,7.5,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",8,2026-01-26T08:16:31.014983Z,7.5,Female,35-44,7.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,8.0,8.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",5,2026-01-26T08:16:31.158190Z,7.5,Female,35-44,7.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,8.0,8.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",7,2026-01-26T08:16:31.352193Z,7.5,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0
"Carbon neutrality by 2050 requires stronger EU policies focused on delivery: accelerate permits for renewables, invest in grids, and provide predictable signals for investors. To sustain support, fund retraining and transition protections.",9,2026-01-26T08:16:31.352431Z,7.7,Female,35-44,8.0,7.0,9.0,8.0,6.0,7.0,7.0,8.0,8.0,9.0
